1.51	0.65
1.54	5.03
1.58	4.99
1.61	6.43
1.64	9.33
1.67	8.56
1.71	4.85
1.74	3.34
1.77	9.19
1.80	11.36
1.84	6.18
1.87	8.35
1.90	9.05
1.93	9.01
1.97	8.98
2.00	8.94
2.03	5.97
2.06	10.34
2.09	17.65
2.13	20.56
2.16	19.79
2.19	27.83
2.22	33.68
2.26	53.48
2.29	68.14
2.32	62.96
2.34	87.92
2.36	91.58
2.39	109.92
2.40	109.90
2.42	86.37
2.45	106.91
2.48	120.10
2.51	125.20
2.55	125.90
2.58	133.95
2.61	156.69
2.64	160.33
2.66	158.11
2.67	193.37
2.69	193.35
2.72	191.84
2.75	197.69
2.78	197.66
2.79	246.14
2.81	249.06
2.84	259.31
2.87	268.10
2.88	303.36
2.90	303.34
2.92	303.31
2.94	369.42
2.96	372.34
2.99	387.00
3.00	466.34
3.02	463.38
3.05	448.66
3.06	563.27
3.07	563.25
3.09	620.55
3.10	620.53
3.12	708.69
3.13	708.67
3.15	752.74
3.16	752.73
3.18	796.79
3.19	796.78
3.21	796.76
3.22	721.80
3.24	721.78
3.25	664.45
3.27	664.43
3.28	540.98
3.30	540.96
3.31	479.23
3.33	479.21
3.34	408.65
3.36	408.64
3.37	364.54
3.39	430.65
3.41	437.97
3.44	452.64
3.45	501.12
3.46	501.10
3.48	501.09
3.49	452.58
3.51	452.56
3.52	324.69
3.54	324.68
3.55	201.22
3.57	201.20
3.58	126.24
3.60	126.22
3.62	99.75
3.65	99.72
3.66	99.71
3.68	73.23
3.70	73.20
3.72	73.19
3.74	37.90
3.77	37.13
3.80	30.48
3.83	14.28
3.87	15.72
3.90	18.62
3.93	13.44
3.96	11.20
4.00	8.23
4.03	10.40
4.06	15.50
4.09	8.12
4.12	11.02
4.16	6.58
4.19	5.81
4.22	2.10
4.25	2.07
4.29	2.03
4.32	4.93
4.35	4.16
4.38	4.86
4.42	6.30
4.45	6.26
4.48	2.55
4.50	1.80
